,지번주소,동,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
4885,서울특별시 강서구 내발산동 657-0번지 우장산힐스테이트 상가2동 101호,내발산동,하이트.맥스,호프/통닭,185813.1505,450434.0882,126.83734066931447,37.55606892896048
4886,서울특별시 강서구 화곡동 1119-8번지 (지상 2층) ,화곡동,맥주뚜껑,호프/통닭,186791.0227,450031.0049,126.84841482779387,37.55245179759723
4887,서울특별시 강서구 화곡동 398-26 (지상 1층),화곡동,한우육회 연어,호프/통닭,186483.2734,448029.9032,126.84496911196054,37.53441761381906
4888,서울특별시 강서구 내발산동 712-0 (지상 1층),내발산동,쿡쿡(COOKCOOK),분식,185063.8417,449812.4461,126.8288732288682,37.550456129435396
4889,서울특별시 강서구 방화동 567-32번지 (지상 2층) ,방화동,클라츠,경양식,183298.3144,452163.1915,126.80884004913361,37.57160556635211
4890,서울특별시 강서구 화곡동 1118-14번지 (지상 1~2층) ,화곡동,매향,호프/통닭,186804.2185,449922.7797,126.84856611629961,37.55147689180028
4891,서울특별시 강서구 등촌동 654-60번지 외 2필지 엔이티 (지상 4층) ,등촌동,필식당,한식,187291.9366,450299.0929,126.85407888184592,37.55487431229915
4892,서울특별시 강서구 염창동 258-1번지 외 1필지 동아3차아파트 (지상 1층) 309동 ,염창동,통큰낙지,한식,189098.8068,449777.6596,126.8745352506192,37.55019951970105
4893,서울특별시 강서구 화곡동 1006-5번지 (지상 1층) ,화곡동,청년다방 우장산역점,한식,185407.2501,449492.3923,126.832765778843,37.547578007669344
4894,서울특별시 강서구 화곡동 974-3 경동운수(주) 103호,화곡동,자연밥상,한식,186538.0809,449633.1137,126.8455596797254,37.54886317075496
4895,서울특별시 강서구 화곡동 339-37번지 (지상 1층) ,화곡동,고기처럼,한식,186422.8058,448104.9912,126.84428358593894,37.535093257191896
4896,서울특별시 강서구 화곡동 1121-11번지 (지하 1층) ,화곡동,7080 친구야,호프/통닭,186908.675,449967.9243,126.84974740013385,37.55188513539276
4897,서울특별시 강서구 외발산동 226-1번지 (지상 1층) ,외발산동,광명식당,분식,184395.429,449410.0412,126.82131776753542,37.54681939794004
4898,서울특별시 강서구 공항동 1359-10번지 (지상 1층) ,공항동,아랑식당,중국식,183939.0478,450280.8966,126.8161342832985,37.55465781890697
4899,서울특별시 강서구 가양동 150-11 (지상 1층),가양동,보승회관 양천향교역점,한식,185943.8512,451817.4248,126.8387932246001,37.568534604054996
4900,서울특별시 강서구 화곡동 877-12 (지상 1층),화곡동,금돌계,한식,186743.5395,447615.4625,126.84792128233555,37.530687336549825
4901,서울특별시 강서구 화곡동 872-20번지 (지상 1층) ,화곡동,마님 순대국,한식,186833.6399,447657.5242,126.84893987251333,37.53106760493598
4902,서울특별시 강서구 화곡동 929-1번지 (지상 1층) ,화곡동,옛날짜장,중국식,185997.2493,447326.5486,126.8394836890401,37.52807317381566
4903,서울특별시 강서구 내발산동 722-3번지 (지상 1층) ,내발산동,광장동수제모찌,분식,185248.4216,449556.5781,126.83096717956056,37.54815377560773
4904,서울특별시 강서구 방화동 563-47 1층 103호,방화동,은혜닭집,통닭(치킨),183209.1553,452264.4479,126.80782847435488,37.57251624221484
4905,서울특별시 강서구 내발산동 699-0 (지상 1층) ,내발산동,내발산동명덕점59쌀피자,패스트푸드,185306.891,450058.3884,126.83161873747835,37.55267595936711
4906,서울특별시 강서구 화곡동 927-1 외 3필지 웰라이빌아파트 (지상 1층) 102호,화곡동,날뛰는 해적,한식,186029.7239,447381.6459,126.83985002408554,37.52857008992607
